asset_id,priority,category,type,triangles,max_triangles,result,width_m,depth_m,height_m
COLUMN_001,Later,architecture,column,128,800,PASS,0.44,0.44,2.6
SIGN_FLOOR_001,Later,architecture,sign,14,800,PASS,0.68,0.0275,0.3
SIGN_ROOM_001,Later,architecture,sign,14,800,PASS,0.68,0.0275,0.3
WALL_SEGMENT_001,MVP,architecture,wall,12,500,PASS,2.0,0.12,2.6
WINDOW_001,Later,architecture,window,60,800,PASS,1.21,0.06,1.5
CHAR_AVATAR_VARIANT_001,Later,character,avatar_variant,1408,15000,PASS,1.99,0.3317,1.6908
CHAR_AVATAR_VARIANT_002,Later,character,avatar_variant,2136,15000,PASS,1.99,0.3402,1.6908
CHAR_AVATAR_VARIANT_003,Later,character,avatar_variant,1816,15000,PASS,1.99,0.3317,1.6908
CHAR_AVATAR_VARIANT_004,Later,character,avatar_variant,1796,15000,PASS,1.99,0.392,1.6908
CHAR_AVATAR_VARIANT_005,Later,character,avatar_variant,1692,15000,PASS,1.99,0.3317,1.6908
CHAR_FEMALE_001,MVP,character,avatar,1692,15000,PASS,1.99,0.3325,1.7025
CHAR_MALE_001,MVP,character,avatar,1372,15000,PASS,1.99,0.3317,1.6908
CLOCK_WALL_001,Later,decor,clock,344,1500,PASS,0.46,0.0543,0.46
POSTER_FOCUS_001,Later,decor,poster,14,1000,PASS,0.52,0.02,0.78
WALL_ART_001,Later,decor,wall_art,14,1000,PASS,0.56,0.0385,0.72
WALL_ART_002,Later,decor,wall_art,14,1000,PASS,0.56,0.0385,0.72
ACOUSTIC_PANEL_001,Later,focus,acoustic_panel,72,1000,PASS,0.72,0.0585,1.2
FOCUS_POD_001,Later,focus,focus_pod,60,4500,PASS,1.44,1.15,1.35
PHONEBOOTH_001,Later,focus,phonebooth,84,6000,PASS,1.1,1.0875,2.1
CEILING_PANEL_LIGHT_001,Later,lighting,ceiling_light,24,800,PASS,1.26,0.38,0.04
PENDANT_LAMP_001,Later,lighting,pendant_lamp,416,1200,PASS,0.44,0.44,0.91
LOUNGE_CHAIR_001,Later,lounge,chair,208,3000,PASS,0.9,0.68,1.01
RUG_RECT_001,Later,lounge,rug,72,500,PASS,1.8,1.25,0.033
RUG_RECT_002,Later,lounge,rug,72,500,PASS,1.8,1.25,0.033
SOFA_2SEAT_001,Later,lounge,sofa,96,4200,PASS,1.64,0.8,0.765
SOFA_3SEAT_001,MVP,lounge,sofa,120,5000,PASS,2.32,0.8,0.765
TABLE_COFFEE_001,MVP,lounge,table,204,1400,PASS,1.1,0.6,0.4075
TABLE_SIDE_001,Later,lounge,table,204,1200,PASS,0.55,0.45,0.4475
CHAIR_MEETING_001,MVP,meeting,chair,184,1800,PASS,0.48,0.47,0.93
GLASS_DOOR_001,MVP,meeting,glass_door,220,900,PASS,1.06,0.095,2.1075
GLASS_PARTITION_001,MVP,meeting,glass_partition,60,800,PASS,1.26,0.06,2.1075
TABLE_MEETING_LARGE_001,MVP,meeting,table,228,5000,PASS,3.2,1.2,0.8325
TABLE_MEETING_SMALL_001,Later,meeting,table,228,3200,PASS,1.8,1.0,0.8325
TV_WALL_001,MVP,meeting,display,14,1000,PASS,1.45,0.065,0.82
WHITEBOARD_MOBILE_001,Later,meeting,whiteboard,294,2500,PASS,1.86,0.325,1.593
WHITEBOARD_WALL_001,MVP,meeting,whiteboard,26,1600,PASS,1.86,0.11,1.06
BAR_STOOL_001,Later,pantry,stool,848,1500,PASS,0.48,0.48,0.8175
COFFEE_MACHINE_001,Later,pantry,coffee_machine,164,2200,PASS,0.44,0.49,0.595
FRIDGE_001,Later,pantry,fridge,60,2200,PASS,0.58,0.61,1.45
MICROWAVE_001,Later,pantry,microwave,36,1400,PASS,0.48,0.3625,0.28
PANTRY_COUNTER_001,Later,pantry,counter,72,3500,PASS,1.9,0.675,1.305
WATER_DISPENSER_001,MVP,pantry,water_dispenser,216,2200,PASS,0.34,0.41,1.21
PLANT_HANGING_001,Later,plants,plant,1152,3000,PASS,0.2912,0.2846,0.5425
PLANT_LARGE_MONSTERA_001,MVP,plants,plant,1088,6000,PASS,0.5488,0.5488,0.81
PLANT_MEDIUM_001,MVP,plants,plant,1088,3500,PASS,0.3455,0.3455,0.51
PLANT_SMALL_001,MVP,plants,plant,1088,2000,PASS,0.1951,0.1951,0.288
BINDERS_SET_001,Later,props,binders,72,1000,PASS,0.38,0.29,0.42
BOOK_STACK_001,Later,props,books,72,1000,PASS,0.35,0.24,0.1715
COFFEE_TAKEOUT_001,MVP,props,coffee_cup,204,1000,PASS,0.17,0.17,0.2125
DESKPHONE_001,Later,props,deskphone,324,1000,PASS,0.34,0.226,0.1575
DOC_TRAY_001,Later,props,doc_tray,48,1000,PASS,0.415,0.28,0.1095
HEADSET_001,Later,props,headset,560,1200,PASS,0.44,0.225,0.392
KEYBOARD_MOUSE_SET_001,MVP,props,keyboard_mouse,380,1000,PASS,0.534,0.132,0.0567
LAMP_DESK_001,MVP,props,desk_lamp,224,1500,PASS,0.26,0.53,0.7895
LAPTOP_OPEN_001,MVP,props,laptop,38,1500,PASS,0.46,0.3425,0.3525
MONITOR_DUAL_001,MVP,props,monitor,148,2500,PASS,1.14,0.18,0.5225
MONITOR_SINGLE_001,MVP,props,monitor,74,1500,PASS,0.54,0.2,0.5325
MUG_CERAMIC_001,MVP,props,mug,512,1000,PASS,0.192,0.18,0.137
NOTEBOOK_001,Later,props,notebook,56,800,PASS,0.264,0.33,0.0685
PEN_CUP_001,Later,props,pen_cup,200,1200,PASS,0.12,0.12,0.2293
BENCH_WAITING_001,Later,reception,bench,216,2500,PASS,1.6,0.49,0.925
DESK_RECEPTION_001,MVP,reception,desk,38,3500,PASS,2.05,1.08,1.035
SIGNAGE_STANDING_001,Later,reception,signage,158,1500,PASS,0.48,0.44,1.42
WALL_BRAND_001,MVP,reception,brand_wall,122,2800,PASS,2.4,0.135,1.8
CABINET_FILE_001,MVP,storage,cabinet,84,1800,PASS,0.48,0.499,0.72
LOCKER_001,Later,storage,locker,84,2200,PASS,0.72,0.469,1.65
PRINTER_MFP_001,MVP,storage,printer,60,3500,PASS,0.78,0.63,0.515
SHELF_OPEN_001,MVP,storage,shelf,1232,4500,PASS,1.3,0.36,1.22
TRASH_BIN_001,Later,storage,trash_bin,192,1000,PASS,0.36,0.36,0.3675
CHAIR_EXECUTIVE_001,Later,workstation,chair,460,3000,PASS,0.82,0.565,1.42
CHAIR_GUEST_001,Later,workstation,chair,72,1800,PASS,0.71,0.58,0.625
CHAIR_TASK_MESH_001,MVP,workstation,chair,436,2500,PASS,0.76,0.54,1.25
DESK_BENCH_2P_001,Later,workstation,desk,228,4200,PASS,2.4,1.1,1.2
DESK_L_CORNER_001,Later,workstation,desk,420,3500,PASS,1.55,1.39,0.77
DESK_STANDARD_001,MVP,workstation,desk,264,3000,PASS,1.6,0.81,1.2
STOOL_HIGH_001,Later,workstation,stool,848,1500,PASS,0.48,0.48,0.8175
