asset_id,category,type,priority,triangles,max_triangles,result,file
COLUMN_001,architecture,column,Later,128,800,PASS,models/architecture/COLUMN_001.glb
SIGN_FLOOR_001,architecture,sign,Later,14,800,PASS,models/architecture/SIGN_FLOOR_001.glb
SIGN_ROOM_001,architecture,sign,Later,14,800,PASS,models/architecture/SIGN_ROOM_001.glb
WALL_SEGMENT_001,architecture,wall,MVP,12,500,PASS,models/architecture/WALL_SEGMENT_001.glb
WINDOW_001,architecture,window,Later,60,800,PASS,models/architecture/WINDOW_001.glb
CHAR_AVATAR_VARIANT_001,characters,avatar,Later,5508,15000,PASS,models/characters/CHAR_AVATAR_VARIANT_001.glb
CHAR_AVATAR_VARIANT_002,characters,avatar,Later,5828,15000,PASS,models/characters/CHAR_AVATAR_VARIANT_002.glb
CHAR_AVATAR_VARIANT_003,characters,avatar,Later,5508,15000,PASS,models/characters/CHAR_AVATAR_VARIANT_003.glb
CHAR_AVATAR_VARIANT_004,characters,avatar,Later,5432,15000,PASS,models/characters/CHAR_AVATAR_VARIANT_004.glb
CHAR_AVATAR_VARIANT_005,characters,avatar,Later,5508,15000,PASS,models/characters/CHAR_AVATAR_VARIANT_005.glb
CHAR_FEMALE_001,characters,avatar,MVP,5432,15000,PASS,models/characters/CHAR_FEMALE_001.glb
CHAR_MALE_001,characters,avatar,MVP,5508,15000,PASS,models/characters/CHAR_MALE_001.glb
CLOCK_WALL_001,decor,clock,Later,344,1500,PASS,models/decor/CLOCK_WALL_001.glb
POSTER_FOCUS_001,decor,poster,Later,14,1000,PASS,models/decor/POSTER_FOCUS_001.glb
WALL_ART_001,decor,wall_art,Later,14,1000,PASS,models/decor/WALL_ART_001.glb
WALL_ART_002,decor,wall_art,Later,14,1000,PASS,models/decor/WALL_ART_002.glb
ACOUSTIC_PANEL_001,focus,acoustic_panel,Later,72,1000,PASS,models/focus/ACOUSTIC_PANEL_001.glb
FOCUS_POD_001,focus,focus_pod,Later,60,4500,PASS,models/focus/FOCUS_POD_001.glb
PHONEBOOTH_001,focus,phonebooth,Later,84,6000,PASS,models/focus/PHONEBOOTH_001.glb
CEILING_PANEL_LIGHT_001,lighting,ceiling_light,Later,24,800,PASS,models/lighting/CEILING_PANEL_LIGHT_001.glb
PENDANT_LAMP_001,lighting,pendant_lamp,Later,416,1200,PASS,models/lighting/PENDANT_LAMP_001.glb
LOUNGE_CHAIR_001,lounge,chair,Later,208,3000,PASS,models/lounge/LOUNGE_CHAIR_001.glb
RUG_RECT_001,lounge,rug,Later,72,500,PASS,models/lounge/RUG_RECT_001.glb
RUG_RECT_002,lounge,rug,Later,72,500,PASS,models/lounge/RUG_RECT_002.glb
SOFA_2SEAT_001,lounge,sofa,Later,96,4200,PASS,models/lounge/SOFA_2SEAT_001.glb
SOFA_3SEAT_001,lounge,sofa,MVP,120,5000,PASS,models/lounge/SOFA_3SEAT_001.glb
TABLE_COFFEE_001,lounge,table,MVP,204,1400,PASS,models/lounge/TABLE_COFFEE_001.glb
TABLE_SIDE_001,lounge,table,Later,204,1200,PASS,models/lounge/TABLE_SIDE_001.glb
CHAIR_MEETING_001,meeting,chair,MVP,184,1800,PASS,models/meeting/CHAIR_MEETING_001.glb
