asset_id,category,type,priority,file,legacy_file,width_m,depth_m,height_m,runtime_ready
ARCH_COLUMN_ROUND_001,architecture,column,P2,01_runtime_3d/models_pbr_v10/architecture/ARCH_COLUMN_ROUND_001.glb,01_runtime_3d/models/architecture/ARCH_COLUMN_ROUND_001.glb,0.48,0.48,2.7,True
ARCH_FLOOR_CARPET_TILE_001,architecture,floor,P2,01_runtime_3d/models_pbr_v10/architecture/ARCH_FLOOR_CARPET_TILE_001.glb,01_runtime_3d/models/architecture/ARCH_FLOOR_CARPET_TILE_001.glb,2.0,2.0,0.018,True
ARCH_FLOOR_CONCRETE_TILE_001,architecture,floor,P1,01_runtime_3d/models_pbr_v10/architecture/ARCH_FLOOR_CONCRETE_TILE_001.glb,01_runtime_3d/models/architecture/ARCH_FLOOR_CONCRETE_TILE_001.glb,2.0,2.0,0.055,True
ARCH_FLOOR_WOOD_TILE_001,architecture,floor,P1,01_runtime_3d/models_pbr_v10/architecture/ARCH_FLOOR_WOOD_TILE_001.glb,01_runtime_3d/models/architecture/ARCH_FLOOR_WOOD_TILE_001.glb,2.0,2.0,0.055,True
ARCH_GLASS_DOOR_001,architecture,glass_door,P1,01_runtime_3d/models_pbr_v10/architecture/ARCH_GLASS_DOOR_001.glb,01_runtime_3d/models/architecture/ARCH_GLASS_DOOR_001.glb,1.1,0.088,2.255,True
ARCH_GLASS_MEETING_ROOM_HERO_001,architecture,room_shell,P1,01_runtime_3d/models_pbr_v10/architecture/ARCH_GLASS_MEETING_ROOM_HERO_001.glb,01_runtime_3d/models/architecture/ARCH_GLASS_MEETING_ROOM_HERO_001.glb,3.912,2.837,2.322,True
ARCH_GLASS_PARTITION_001,architecture,glass,P1,01_runtime_3d/models_pbr_v10/architecture/ARCH_GLASS_PARTITION_001.glb,01_runtime_3d/models/architecture/ARCH_GLASS_PARTITION_001.glb,1.245,0.05,2.255,True
ARCH_NEON_ROOM_OUTLINE_BLUE_001,architecture,emissive,P1,01_runtime_3d/models_pbr_v10/architecture/ARCH_NEON_ROOM_OUTLINE_BLUE_001.glb,01_runtime_3d/models/architecture/ARCH_NEON_ROOM_OUTLINE_BLUE_001.glb,2.4,0.04,0.04,True
ARCH_PLANTER_DIVIDER_001,architecture,planter,P1,01_runtime_3d/models_pbr_v10/architecture/ARCH_PLANTER_DIVIDER_001.glb,01_runtime_3d/models/architecture/ARCH_PLANTER_DIVIDER_001.glb,1.62,0.42,0.462,True
ARCH_SIGNAGE_STANDING_001,architecture,signage,P2,01_runtime_3d/models_pbr_v10/architecture/ARCH_SIGNAGE_STANDING_001.glb,01_runtime_3d/models/architecture/ARCH_SIGNAGE_STANDING_001.glb,0.75,0.36,1.098,True
ARCH_WALL_SEGMENT_CONCRETE_001,architecture,wall,P1,01_runtime_3d/models_pbr_v10/architecture/ARCH_WALL_SEGMENT_CONCRETE_001.glb,01_runtime_3d/models/architecture/ARCH_WALL_SEGMENT_CONCRETE_001.glb,2.0,0.16,2.7,True
ARCH_WINDOW_TALL_001,architecture,window,P2,01_runtime_3d/models_pbr_v10/architecture/ARCH_WINDOW_TALL_001.glb,01_runtime_3d/models/architecture/ARCH_WINDOW_TALL_001.glb,1.415,0.07,1.34,True
