asset_id,category,type,priority,kind,file,runtime_ready
ARCH_FLOOR_CONCRETE_TILE_001,architecture,floor,P1,3d_glb,01_runtime_3d/models/architecture/ARCH_FLOOR_CONCRETE_TILE_001.glb,True
ARCH_FLOOR_WOOD_TILE_001,architecture,floor,P1,3d_glb,01_runtime_3d/models/architecture/ARCH_FLOOR_WOOD_TILE_001.glb,True
ARCH_FLOOR_CARPET_TILE_001,architecture,floor,P2,3d_glb,01_runtime_3d/models/architecture/ARCH_FLOOR_CARPET_TILE_001.glb,True
ARCH_WALL_SEGMENT_CONCRETE_001,architecture,wall,P1,3d_glb,01_runtime_3d/models/architecture/ARCH_WALL_SEGMENT_CONCRETE_001.glb,True
ARCH_WINDOW_TALL_001,architecture,window,P2,3d_glb,01_runtime_3d/models/architecture/ARCH_WINDOW_TALL_001.glb,True
ARCH_COLUMN_ROUND_001,architecture,column,P2,3d_glb,01_runtime_3d/models/architecture/ARCH_COLUMN_ROUND_001.glb,True
ARCH_SIGNAGE_STANDING_001,architecture,signage,P2,3d_glb,01_runtime_3d/models/architecture/ARCH_SIGNAGE_STANDING_001.glb,True
ARCH_GLASS_PARTITION_001,architecture,glass,P1,3d_glb,01_runtime_3d/models/architecture/ARCH_GLASS_PARTITION_001.glb,True
ARCH_GLASS_DOOR_001,architecture,glass_door,P1,3d_glb,01_runtime_3d/models/architecture/ARCH_GLASS_DOOR_001.glb,True
ARCH_GLASS_MEETING_ROOM_HERO_001,architecture,room_shell,P1,3d_glb,01_runtime_3d/models/architecture/ARCH_GLASS_MEETING_ROOM_HERO_001.glb,True
ARCH_NEON_ROOM_OUTLINE_BLUE_001,architecture,emissive,P1,3d_glb,01_runtime_3d/models/architecture/ARCH_NEON_ROOM_OUTLINE_BLUE_001.glb,True
ARCH_PLANTER_DIVIDER_001,architecture,planter,P1,3d_glb,01_runtime_3d/models/architecture/ARCH_PLANTER_DIVIDER_001.glb,True
RECEPTION_DESK_MARBLE_HERO_001,reception,reception_desk,P1,3d_glb,01_runtime_3d/models/reception/RECEPTION_DESK_MARBLE_HERO_001.glb,True
RECEPTION_BACKWALL_WOOD_SLAT_HERO_001,reception,brand_wall,P1,3d_glb,01_runtime_3d/models/reception/RECEPTION_BACKWALL_WOOD_SLAT_HERO_001.glb,True
RECEPTION_BRAND_WALL_001,reception,brand_wall,P1,3d_glb,01_runtime_3d/models/reception/RECEPTION_BRAND_WALL_001.glb,True
RECEPTION_COUNTER_LIGHT_STRIP_001,reception,light_strip,P1,3d_glb,01_runtime_3d/models/reception/RECEPTION_COUNTER_LIGHT_STRIP_001.glb,True
RECEPTION_STAFF_CHAIR_001,reception,chair,P2,3d_glb,01_runtime_3d/models/reception/RECEPTION_STAFF_CHAIR_001.glb,True
LOBBY_DECOR_SHELF_001,reception,shelf,P1,3d_glb,01_runtime_3d/models/reception/LOBBY_DECOR_SHELF_001.glb,True
DESK_STANDARD_001,workstation,desk,P1,3d_glb,01_runtime_3d/models/workstation/DESK_STANDARD_001.glb,True
DESK_L_CORNER_001,workstation,desk,P2,3d_glb,01_runtime_3d/models/workstation/DESK_L_CORNER_001.glb,True
DESK_BENCH_2P_001,workstation,desk,P2,3d_glb,01_runtime_3d/models/workstation/DESK_BENCH_2P_001.glb,True
DESK_BENCH_4P_HERO_001,workstation,desk_cluster,P1,3d_glb,01_runtime_3d/models/workstation/DESK_BENCH_4P_HERO_001.glb,True
CHAIR_TASK_BLACK_HERO_001,workstation,chair,P1,3d_glb,01_runtime_3d/models/workstation/CHAIR_TASK_BLACK_HERO_001.glb,True
CHAIR_EXECUTIVE_HIGHBACK_001,workstation,chair,P2,3d_glb,01_runtime_3d/models/workstation/CHAIR_EXECUTIVE_HIGHBACK_001.glb,True
CHAIR_GUEST_ARM_001,workstation,chair,P2,3d_glb,01_runtime_3d/models/workstation/CHAIR_GUEST_ARM_001.glb,True
CHAIR_STOOL_BAR_001,workstation,chair,P2,3d_glb,01_runtime_3d/models/workstation/CHAIR_STOOL_BAR_001.glb,True
MEETING_TABLE_8P_HERO_001,meeting,meeting_table,P1,3d_glb,01_runtime_3d/models/meeting/MEETING_TABLE_8P_HERO_001.glb,True
MEETING_TABLE_4P_001,meeting,meeting_table,P2,3d_glb,01_runtime_3d/models/meeting/MEETING_TABLE_4P_001.glb,True
MEETING_CHAIR_BLACK_001,meeting,chair,P1,3d_glb,01_runtime_3d/models/meeting/MEETING_CHAIR_BLACK_001.glb,True
MEETING_TV_WALL_001,meeting,display,P1,3d_glb,01_runtime_3d/models/meeting/MEETING_TV_WALL_001.glb,True
MEETING_WHITEBOARD_WALL_001,meeting,whiteboard,P1,3d_glb,01_runtime_3d/models/meeting/MEETING_WHITEBOARD_WALL_001.glb,True
MEETING_WHITEBOARD_MOBILE_001,meeting,whiteboard,P2,3d_glb,01_runtime_3d/models/meeting/MEETING_WHITEBOARD_MOBILE_001.glb,True
MEETING_CAMERA_BAR_001,meeting,camera,P2,3d_glb,01_runtime_3d/models/meeting/MEETING_CAMERA_BAR_001.glb,True
MEETING_SPEAKERPHONE_001,meeting,speakerphone,P2,3d_glb,01_runtime_3d/models/meeting/MEETING_SPEAKERPHONE_001.glb,True
SOFA_SECTIONAL_BLUE_HERO_001,lounge,sofa,P1,3d_glb,01_runtime_3d/models/lounge/SOFA_SECTIONAL_BLUE_HERO_001.glb,True
SOFA_3SEAT_LIGHT_001,lounge,sofa,P1,3d_glb,01_runtime_3d/models/lounge/SOFA_3SEAT_LIGHT_001.glb,True
SOFA_2SEAT_001,lounge,sofa,P2,3d_glb,01_runtime_3d/models/lounge/SOFA_2SEAT_001.glb,True
LOUNGE_CHAIR_ROUND_001,lounge,chair,P2,3d_glb,01_runtime_3d/models/lounge/LOUNGE_CHAIR_ROUND_001.glb,True
TABLE_COFFEE_ROUND_001,lounge,table,P1,3d_glb,01_runtime_3d/models/lounge/TABLE_COFFEE_ROUND_001.glb,True
TABLE_SIDE_001,lounge,table,P2,3d_glb,01_runtime_3d/models/lounge/TABLE_SIDE_001.glb,True
RUG_BLUE_PATTERN_001,lounge,rug,P2,3d_glb,01_runtime_3d/models/lounge/RUG_BLUE_PATTERN_001.glb,True
PHONEBOOTH_1P_GLASS_001,focus,phonebooth,P2,3d_glb,01_runtime_3d/models/focus/PHONEBOOTH_1P_GLASS_001.glb,True
FOCUS_POD_001,focus,focus_pod,P2,3d_glb,01_runtime_3d/models/focus/FOCUS_POD_001.glb,True
ACOUSTIC_PANEL_001,focus,panel,P2,3d_glb,01_runtime_3d/models/focus/ACOUSTIC_PANEL_001.glb,True
PANTRY_COUNTER_MARBLE_HERO_001,pantry,counter,P2,3d_glb,01_runtime_3d/models/pantry/PANTRY_COUNTER_MARBLE_HERO_001.glb,True
WATER_DISPENSER_001,pantry,water_dispenser,P1,3d_glb,01_runtime_3d/models/pantry/WATER_DISPENSER_001.glb,True
COFFEE_MACHINE_001,pantry,coffee_machine,P2,3d_glb,01_runtime_3d/models/pantry/COFFEE_MACHINE_001.glb,True
