file,valid,meshes,materials,images,textures,skins,animations,all_tri_primitives_have_normals,all_tri_primitives_have_uv0,bytes
01_runtime_3d/models_pbr_v10/architecture/ARCH_COLUMN_ROUND_001.glb,True,2,2,6,6,0,0,True,True,425036
01_runtime_3d/models_pbr_v10/architecture/ARCH_FLOOR_CARPET_TILE_001.glb,True,4,2,6,6,0,0,True,True,1201160
01_runtime_3d/models_pbr_v10/architecture/ARCH_FLOOR_CONCRETE_TILE_001.glb,True,5,2,6,6,0,0,True,True,424708
01_runtime_3d/models_pbr_v10/architecture/ARCH_FLOOR_WOOD_TILE_001.glb,True,9,2,3,3,0,0,True,True,443576
01_runtime_3d/models_pbr_v10/architecture/ARCH_GLASS_DOOR_001.glb,True,7,4,12,12,0,0,True,True,329848
01_runtime_3d/models_pbr_v10/architecture/ARCH_GLASS_MEETING_ROOM_HERO_001.glb,True,22,4,12,12,0,0,True,True,347544
01_runtime_3d/models_pbr_v10/architecture/ARCH_GLASS_PARTITION_001.glb,True,5,2,6,6,0,0,True,True,126880
01_runtime_3d/models_pbr_v10/architecture/ARCH_NEON_ROOM_OUTLINE_BLUE_001.glb,True,1,1,3,3,0,0,True,True,25976
01_runtime_3d/models_pbr_v10/architecture/ARCH_PLANTER_DIVIDER_001.glb,True,13,2,6,6,0,0,True,True,399020
01_runtime_3d/models_pbr_v10/architecture/ARCH_SIGNAGE_STANDING_001.glb,True,4,3,9,9,0,0,True,True,230100
01_runtime_3d/models_pbr_v10/architecture/ARCH_WALL_SEGMENT_CONCRETE_001.glb,True,1,1,3,3,0,0,True,True,220524
01_runtime_3d/models_pbr_v10/architecture/ARCH_WINDOW_TALL_001.glb,True,6,2,6,6,0,0,True,True,128024
01_runtime_3d/models_pbr_v10/characters/CHAR_FEMALE_001.glb,True,20,8,24,24,0,0,True,True,1527540
01_runtime_3d/models_pbr_v10/characters/CHAR_FEMALE_BUSINESS_002.glb,True,20,8,24,24,0,0,True,True,1543756
01_runtime_3d/models_pbr_v10/characters/CHAR_MALE_001.glb,True,20,8,24,24,0,0,True,True,1566652
01_runtime_3d/models_pbr_v10/characters/CHAR_MALE_CASUAL_002.glb,True,20,8,24,24,0,0,True,True,1550436
