asset_id,category,type,triangles,width_m,depth_m,height_m
ARCH_FLOOR_CONCRETE_TILE_001,architecture,floor,60,2.0,2.0,0.055
ARCH_FLOOR_WOOD_TILE_001,architecture,floor,108,2.0,2.0,0.055
ARCH_FLOOR_CARPET_TILE_001,architecture,floor,176,2.0,2.0,0.018
ARCH_WALL_SEGMENT_CONCRETE_001,architecture,wall,12,2.0,0.16,2.7
ARCH_WINDOW_TALL_001,architecture,window,72,1.415,0.07,1.34
ARCH_COLUMN_ROUND_001,architecture,column,192,0.48,0.48,2.7
ARCH_SIGNAGE_STANDING_001,architecture,signage,200,0.75,0.36,1.098
ARCH_GLASS_PARTITION_001,architecture,glass,60,1.245,0.05,2.255
ARCH_GLASS_DOOR_001,architecture,glass_door,104,1.1,0.088,2.255
ARCH_GLASS_MEETING_ROOM_HERO_001,architecture,room_shell,292,3.912,2.837,2.322
ARCH_NEON_ROOM_OUTLINE_BLUE_001,architecture,emissive,12,2.4,0.04,0.04
ARCH_PLANTER_DIVIDER_001,architecture,planter,3932,1.62,0.42,0.462
RECEPTION_DESK_MARBLE_HERO_001,reception,reception_desk,1148,2.9,0.935,1.128
RECEPTION_BACKWALL_WOOD_SLAT_HERO_001,reception,brand_wall,314,4.6,0.22,2.6
RECEPTION_BRAND_WALL_001,reception,brand_wall,314,4.6,0.22,2.6
RECEPTION_COUNTER_LIGHT_STRIP_001,reception,light_strip,12,1.8,0.05,0.05
RECEPTION_STAFF_CHAIR_001,reception,chair,988,0.868,0.889,1.325
LOBBY_DECOR_SHELF_001,reception,shelf,868,1.4,0.57,1.6
DESK_STANDARD_001,workstation,desk,320,1.65,0.855,1.262
DESK_L_CORNER_001,workstation,desk,356,1.815,1.555,0.815
DESK_BENCH_2P_001,workstation,desk,320,2.45,1.2,1.27
DESK_BENCH_4P_HERO_001,workstation,desk_cluster,1628,3.4,1.45,1.305
CHAIR_TASK_BLACK_HERO_001,workstation,chair,976,0.868,0.889,1.325
CHAIR_EXECUTIVE_HIGHBACK_001,workstation,chair,1120,0.868,0.889,1.325
CHAIR_GUEST_ARM_001,workstation,chair,312,0.55,0.55,1.018
CHAIR_STOOL_BAR_001,workstation,chair,368,0.68,0.68,0.8
MEETING_TABLE_8P_HERO_001,meeting,meeting_table,276,2.6,1.15,0.64
MEETING_TABLE_4P_001,meeting,meeting_table,276,1.6,0.95,0.64
MEETING_CHAIR_BLACK_001,meeting,chair,232,0.5,0.486,1.086
MEETING_TV_WALL_001,meeting,display,26,1.65,0.079,0.965
MEETING_WHITEBOARD_WALL_001,meeting,whiteboard,184,1.38,0.053,1.165
MEETING_WHITEBOARD_MOBILE_001,meeting,whiteboard,424,1.38,0.1,1.505
MEETING_CAMERA_BAR_001,meeting,camera,236,0.55,0.09,0.083
MEETING_SPEAKERPHONE_001,meeting,speakerphone,204,0.28,0.2,0.045
SOFA_SECTIONAL_BLUE_HERO_001,lounge,sofa,1440,2.55,1.645,1.09
SOFA_3SEAT_LIGHT_001,lounge,sofa,1192,2.55,0.82,1.09
SOFA_2SEAT_001,lounge,sofa,992,1.8,0.82,1.09
LOUNGE_CHAIR_ROUND_001,lounge,chair,792,1.05,0.82,1.09
TABLE_COFFEE_ROUND_001,lounge,table,336,0.84,0.84,0.455
TABLE_SIDE_001,lounge,table,300,0.65,0.45,0.49
RUG_BLUE_PATTERN_001,lounge,rug,176,2.2,1.45,0.018
PHONEBOOTH_1P_GLASS_001,focus,phonebooth,296,1.16,1.177,3.3
FOCUS_POD_001,focus,focus_pod,368,1.35,1.055,1.66
ACOUSTIC_PANEL_001,focus,panel,156,0.75,0.069,1.413
PANTRY_COUNTER_MARBLE_HERO_001,pantry,counter,264,2.95,0.857,1.212
WATER_DISPENSER_001,pantry,water_dispenser,328,0.38,0.415,0.88
COFFEE_MACHINE_001,pantry,coffee_machine,268,0.43,0.395,0.745
BAR_STOOL_BLUE_001,pantry,stool,368,0.68,0.68,0.8
FRIDGE_001,pantry,fridge,128,0.65,0.609,2.075
MICROWAVE_001,pantry,microwave,100,0.58,0.379,0.42
MONITOR_SINGLE_001,props,monitor,140,0.48,0.18,0.455
MONITOR_DUAL_001,props,monitor,280,1.12,0.18,0.455
LAPTOP_OPEN_001,props,laptop,112,0.45,0.393,0.312
KEYBOARD_MOUSE_SET_001,props,keyboard_mouse,588,0.643,0.161,0.049
DESK_LAMP_SLIM_001,props,lamp,800,0.522,0.22,0.451
MUG_CERAMIC_001,props,mug,272,0.184,0.12,0.103
COFFEE_TAKEOUT_001,props,cup,204,0.116,0.12,0.162
DESK_PHONE_001,props,phone,268,0.22,0.185,0.105
PAPER_STACK_001,props,paper,72,0.22,0.3,0.041
PEN_HOLDER_001,props,pen_holder,184,0.106,0.107,0.202
BOOK_STACK_001,props,books,48,0.26,0.18,0.149
BINDER_SET_001,props,binder,60,0.315,0.22,0.3
HEADSET_001,props,headset,448,0.31,0.032,0.213
CABLE_SET_001,props,cable,48,0.532,0.08,0.012
DOCUMENT_TRAY_001,props,tray,88,0.35,0.26,0.045
SHELF_OPEN_001,storage,shelf,868,1.4,0.57,1.6
CABINET_FILE_001,storage,cabinet,148,0.46,0.575,0.97
LOCKER_001,storage,locker,192,0.91,0.471,1.75
PRINTER_MFP_001,storage,printer,188,0.75,0.598,0.43
TRASH_BIN_001,storage,trash,192,0.36,0.36,0.335
PLANT_LARGE_REALISTIC_HERO_001,plants,plant,7792,0.852,0.872,1.388
PLANT_MEDIUM_001,plants,plant,4296,0.556,0.437,0.566
PLANT_SMALL_DESK_001,plants,plant,632,0.213,0.171,0.221
PLANT_HANGING_001,plants,plant,1568,0.444,0.4,1.04
WALL_ART_FRAME_001,decor,art,14,0.92,0.05,0.62
POSTER_FOCUS_PLAN_EXECUTE_001,decor,poster,14,0.6,0.045,0.8
WALL_CLOCK_001,decor,clock,368,0.45,0.235,0.63
LIGHT_CEILING_PANEL_001,lighting,light,184,1.0,0.45,0.053
LIGHT_PENDANT_WARM_001,lighting,light,664,0.36,0.36,0.813
CHAR_MALE_001,characters,character,1740,1.719,0.292,1.722
CHAR_FEMALE_001,characters,character,1740,1.719,0.292,1.722
CHAR_RECEPTIONIST_001,characters,character,1752,1.719,0.308,1.722
CHAR_MALE_CASUAL_002,characters,character,1740,1.719,0.292,1.722
CHAR_FEMALE_BUSINESS_002,characters,character,1740,1.719,0.292,1.722
